code_individual_host,host_DNA_ext_ID,TAMUIC_IC_CODE,host_species,updated_host_species_name,host_tip_name,updated_tip_names,country,state,county,locality,latitude,longitude,date_collected,host_order,host_suborder,host_family,host_subfamily,Tribe,host_genus,host_genus_updated
Tobs_EC_10Oct2023_7,R1,TAMUIC-IGC-004538,Taeniopoda obscura,Romalea obscura,Taeniopoda_obscura_Yucatan_El_Cuyo,obscura_1,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos,21.513182,-87.65544,Oct/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,Romalea
Tar_LS_7Aug2023_1,R10,TAMUIC-IGC-004547,Taeniopoda reticulata,Romalea reticulata,Taeniopoda_reticulata_Heredia_La_Selva,reticulata,CR,Heredia,Sarapiqui,La Selva Biological Station. Abandoned house,10.437533,-84.0095,Aug/8/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,Romalea
tt1,R11,TAMUIC-IGC-004548,Taeniopoda tamaulipensis,Romalea tamaulipensis,Taeniopoda_tamaulipensis_Hidalgo_Jilotla,,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago8th2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,Romalea
Taec2,R12,TAMUIC-IGC-004549,Taeniopoda centurio,Romalea centurio,Taeniopoda_centurio_Hidalgo_Mesa_Limatitla,centurio,MX,Hidalgo,Huejutla de Reyes,camino a Mesa de Limatitla,21.07499,-98.41156,Ago12th2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,Romalea
Rm_HH_5Jul23_33,R13,TAMUIC-IGC-004550,Romalea microptera,Romalea microptera,Romalea_microptera_Florida_Highlands_Hammock,microptera_1,US,Florida,Sebring,Highlands Hammock State Park,27.471685,-81.55249,Jul/5/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Romalea,Romalea
Rm_D_1Jun23_21,R14,TAMUIC-IGC-004551,Romalea microptera,Romalea microptera,Romalea_microptera_Alabama_Village_Point,microptera_3,US,Alabama,Daphne,Village Point Park Preserve,30.628351,-87.919589,Jun/1/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Romalea,Romalea
Rm_BR_30Jun23_2,R15,TAMUIC-IGC-004552,Romalea microptera,Romalea microptera,Romalea_microptera_Lousiana_Bayou_Manchac,,US,Lousiana,Baton Rouge,Bayou Manchac Park,30.348023,-90.987638,Jun/30/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Romalea,Romalea
Rm_BC_29Jun23_4,R16,TAMUIC-IGC-004553,Romalea microptera,Romalea microptera,Romalea_microptera_Florida_Burns_Lake,microptera_2,US,Florida,Big Cypress,Road to Burns Lake Campground (South Florida),25.877455,-81.23013,Jun/29/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Romalea,Romalea
Rm_SM_11Jul2023_36,R17,TAMUIC-IGC-004554,Romalea microptera,Romalea microptera,Romalea_microptera_Saint_Marks,microptera_5,US,Florida,Crawfordville,Saint Marks National Wildlife Refuge,30.127161,-84.142822,Jul/11/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Romalea,Romalea
Rm_OS_12Jul2023_59,R18,TAMUIC-IGC-004555,Romalea microptera,Romalea microptera,Romalea_microptera_Natures_Way,microptera_4,US,Mississippi,Ocean Springs,Nature's way trail,30.397594,-88.789983,Jul/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Romalea,Romalea
