"","Romalea_microptera_Alabama_Village_Point","Romalea_microptera_Florida_Burns_Lake","Romalea_microptera_Florida_Highlands_Hammock","Romalea_microptera_Natures_Way","Romalea_microptera_Saint_Marks","Romalea_microptera_Texas_Sam_Houston","Taeniopoda_auricornis_Veracruz_Tepetlan","Taeniopoda_auricornis_Veracruz_Xalapa","Taeniopoda_centurio_Hidalgo_Mesa_Limatitla","Taeniopoda_eques_Hidalgo_1","Taeniopoda_obscura_Yucatan_El_Cuyo","Taeniopoda_obscura_Yucatan_Panaba","Taeniopoda_picticornis_Veracruz_Paseo_Ahuehuetes","Taeniopoda_reticulata_Heredia_La_Selva","Taeniopoda_tamaulipensis_Tamaulipas_El_Madrono","Taeniopoda_varipennis_Puntarenas_Quepos","Xyleus_discoideus_Guerrero_Chutla_de_Nava"
"Ataeniopoda_MK181531",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"Amoebogregarina_7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Amoebogregarina_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Amoebogregarina_4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Amoebogregarina_3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Amoebogregarina_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Amoebogregarina_6",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Amoebogregarina_5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Amoebogregarina_2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Boliviana_3",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Boliviana_1",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Boliviana_4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boliviana_2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coronoepimeritus_3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coronoepimeritus_2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Coronoepimeritus_4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Coronoepimeritus_5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Coronoepimeritus_1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Coronoepimeritus_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Coronoepimeritus_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gregarina_2",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Gregarina_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cmexicana_MK181532",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
