"","Host","Parasite","F1.stat","p.F1","F2.stat","p.F2","host_name","parasite_name","signif1_0.05","signif2_0.05"
"1",1,10,14724828.9852205,0.0384961503849615,0.0142128407333894,0.0385961403859614,"microptera_3","Boliviana_1",TRUE,TRUE
"2",1,13,12669209.3152714,0.0434956504349565,0.0122286957897209,0.0427957204279572,"microptera_3","Coronoepimeritus_3",TRUE,TRUE
"3",2,9,14663801.6321412,0.0396960303969603,0.0141539353260284,0.0394960503949605,"microptera_2","Boliviana_3",TRUE,TRUE
"4",3,10,14705792.223064,0.0403959604039596,0.0141944658871429,0.0405959404059594,"microptera_1","Boliviana_1",TRUE,TRUE
"5",4,9,14921143.8503817,0.0370962903709629,0.0144023296513886,0.0368963103689631,"microptera_4","Boliviana_3",TRUE,TRUE
"6",4,11,14915472.7458142,0.0453954604539546,0.0143968557334178,0.0452954704529547,"microptera_4","Boliviana_4",TRUE,TRUE
"7",4,12,14426005.5057518,0.0422957704229577,0.01392440746701,0.041995800419958,"microptera_4","Boliviana_2",TRUE,TRUE
"8",5,9,13851862.5176023,0.0374962503749625,0.0133702276624804,0.037996200379962,"microptera_5","Boliviana_3",TRUE,TRUE
"9",5,14,12042246.5088596,0.0446955304469553,0.0116235327333463,0.0440955904409559,"microptera_5","Coronoepimeritus_2",TRUE,TRUE
"10",5,17,-20627900.5654067,0.988301169883012,-0.0199106601302188,0.988101189881012,"microptera_5","Coronoepimeritus_1",FALSE,FALSE
"11",6,6,10869208.4388533,0.0421957804219578,0.0104912816708765,0.0404959504049595,"auricornis_1","Amoebogregarina_6",TRUE,TRUE
"12",6,7,10845536.3497866,0.0484951504849515,0.0104684326699089,0.0475952404759524,"auricornis_1","Amoebogregarina_5",TRUE,TRUE
"13",6,8,10583258.2139351,0.0471952804719528,0.0102152740507867,0.0461953804619538,"auricornis_1","Amoebogregarina_2",TRUE,TRUE
"14",7,4,9855253.52046359,0.04999500049995,0.00951258237458076,0.0463953604639536,"auricornis_2","Amoebogregarina_3",TRUE,TRUE
"15",8,1,8948859.12835872,0.0456954304569543,0.00863770368162249,0.0427957204279572,"centurio","Ataeniopoda_MK181531",TRUE,TRUE
"16",8,22,-9425084.69377613,0.992500749925007,-0.00909737069176159,0.993600639936006,"centurio","Cmexicana_MK181532",FALSE,FALSE
"17",9,20,-14029336.8333863,0.98030196980302,-0.0135415311246148,0.981601839816018,"eques","Gregarina_2",FALSE,FALSE
"18",10,1,8423822.91669881,0.0452954704529547,0.00813092319112753,0.0415958404159584,"obscura_1","Ataeniopoda_MK181531",TRUE,TRUE
"19",10,20,-14100929.4870545,0.977402259774023,-0.0136106344727955,0.978702129787021,"obscura_1","Gregarina_2",FALSE,FALSE
"20",11,20,-13421447.8102257,0.979402059794021,-0.0129547786483429,0.981501849815019,"obscura_2","Gregarina_2",FALSE,FALSE
"21",12,1,8311673.18777901,0.050994900509949,0.00802267295358454,0.0471952804719528,"picticornis","Ataeniopoda_MK181531",FALSE,TRUE
"22",12,6,9085574.4065522,0.0518948105189481,0.00876966531436778,0.0481951804819518,"picticornis","Amoebogregarina_6",FALSE,TRUE
"23",13,1,6472746.63379586,0.072992700729927,0.00624768661870781,0.0534946505349465,"reticulata","Ataeniopoda_MK181531",FALSE,FALSE
"24",13,2,7827666.95687699,0.0664933506649335,0.00755549581484269,0.0566943305669433,"reticulata","Amoebogregarina_7",FALSE,FALSE
"25",13,15,-12696721.9942287,0.976702329767023,-0.0122552518417173,0.981901809819018,"reticulata","Coronoepimeritus_4",FALSE,FALSE
"26",13,16,-12628129.0160123,0.975502449755025,-0.0121890438690612,0.981301869813019,"reticulata","Coronoepimeritus_5",FALSE,FALSE
"27",14,5,7986230.24215794,0.0635936406359364,0.00770854579064363,0.0541945805419458,"tamaulipensis","Amoebogregarina_1",FALSE,FALSE
"28",14,18,-12886702.3286318,0.974502549745025,-0.0124386264831516,0.979402059794021,"tamaulipensis","Coronoepimeritus_6",FALSE,FALSE
"29",14,21,-8376009.89112592,0.967403259674033,-0.00808477264376762,0.981101889811019,"tamaulipensis","Gregarina_1",FALSE,FALSE
"30",15,3,8815525.59678501,0.0576942305769423,0.00850900621080095,0.0527947205279472,"varipennis","Amoebogregarina_8",FALSE,FALSE
"31",16,15,220391302.752509,0.0008999100089991,0.212728208129931,0.0008999100089991,"Xyleus","Coronoepimeritus_4",TRUE,TRUE
"32",16,18,221262333.08404,0.0002999700029997,0.213568952384986,0.0002999700029997,"Xyleus","Coronoepimeritus_6",TRUE,TRUE
"33",16,19,216193459.083859,0.000999900009999,0.208676325181336,0.000999900009999,"Xyleus","Coronoepimeritus_7",TRUE,TRUE
