"cost_scheme","replicate","pvalue","cospeciation","transfer","duplication","loss","time_inconsistency","signif","ratio"
"d1_t1_l1",1,0.061938,3,17,0,0,13,FALSE,5.66666666666667
"d1_t1_l1",2,0.014985,5,14,1,1,11,TRUE,2.8
"d1_t1_l1",3,0.028971,5,14,1,0,10,TRUE,2.8
"d1_t1_l1",4,0.085914,3,14,3,0,14,FALSE,4.66666666666667
"d1_t1_l1",5,0.136863,4,15,1,0,11,FALSE,3.75
"d1_t1_l1",6,0.130869,4,15,1,0,7,FALSE,3.75
"d1_t1_l1",7,0.02997,4,14,2,0,12,TRUE,3.5
"d1_t1_l1",8,0.05994,3,17,0,0,13,FALSE,5.66666666666667
"d1_t1_l1",9,0.041958,5,13,2,0,7,TRUE,2.6
"d1_t1_l1",10,0.047952,4,14,2,0,12,TRUE,3.5
"d1_t1_l1",11,0.036963,5,14,1,0,10,TRUE,2.8
"d1_t1_l1",12,0.076923,3,16,1,0,14,FALSE,5.33333333333333
"d1_t1_l1",13,0.107892,4,16,0,0,7,FALSE,4
"d1_t1_l1",14,0.112887,4,15,1,1,13,FALSE,3.75
"d1_t1_l1",15,0.041958,5,13,2,0,10,TRUE,2.6
"d1_t1_l1",16,0.080919,3,16,1,0,13,FALSE,5.33333333333333
"d1_t1_l1",17,0.05994,3,17,0,0,14,FALSE,5.66666666666667
"d1_t1_l1",18,0.040959,4,16,0,0,11,TRUE,4
"d1_t1_l1",19,0.107892,4,16,0,1,13,FALSE,4
"d1_t1_l1",20,0.130869,3,15,2,0,13,FALSE,5
"d1_t1_l1",21,0.325674,2,17,1,0,16,FALSE,8.5
"d1_t1_l1",22,0.013986,5,14,1,1,11,TRUE,2.8
"d1_t1_l1",23,0.025974,5,14,1,0,7,TRUE,2.8
"d1_t1_l1",24,0.02997,4,16,0,0,11,TRUE,4
"d1_t1_l1",25,0.091908,3,16,1,0,13,FALSE,5.33333333333333
"d1_t1_l1",26,0.131868,3,16,1,0,12,FALSE,5.33333333333333
"d1_t1_l1",27,0.076923,3,17,0,0,13,FALSE,5.66666666666667
"d1_t1_l1",28,0.233766,2,17,1,0,16,FALSE,8.5
"d1_t1_l1",29,0.151848,4,14,2,0,7,FALSE,3.5
"d1_t1_l1",30,0.123876,3,16,1,0,12,FALSE,5.33333333333333
"d1_t1_l1",31,0.133866,4,15,1,1,12,FALSE,3.75
"d1_t1_l1",32,0.105894,3,16,1,0,13,FALSE,5.33333333333333
"d1_t1_l1",33,0.177822,4,15,1,1,13,FALSE,3.75
"d1_t1_l1",34,0.132867,3,16,1,0,12,FALSE,5.33333333333333
"d1_t1_l1",35,0.032967,5,14,1,1,12,TRUE,2.8
"d1_t1_l1",36,0.105894,4,16,0,1,12,FALSE,4
"d1_t1_l1",37,0.136863,3,15,2,0,13,FALSE,5
