"cost_scheme","replicate","pvalue","time_inconsistency","signif","ratio","event","number_events"
"d1_t1_l1",1,0.061938,13,FALSE,5.66666666666667,"cospeciation",3
"d1_t1_l1",1,0.061938,13,FALSE,5.66666666666667,"transfer",17
"d1_t1_l1",1,0.061938,13,FALSE,5.66666666666667,"duplication",0
"d1_t1_l1",1,0.061938,13,FALSE,5.66666666666667,"loss",0
"d1_t1_l1",2,0.014985,11,TRUE,2.8,"cospeciation",5
"d1_t1_l1",2,0.014985,11,TRUE,2.8,"transfer",14
"d1_t1_l1",2,0.014985,11,TRUE,2.8,"duplication",1
"d1_t1_l1",2,0.014985,11,TRUE,2.8,"loss",1
"d1_t1_l1",3,0.028971,10,TRUE,2.8,"cospeciation",5
"d1_t1_l1",3,0.028971,10,TRUE,2.8,"transfer",14
"d1_t1_l1",3,0.028971,10,TRUE,2.8,"duplication",1
"d1_t1_l1",3,0.028971,10,TRUE,2.8,"loss",0
"d1_t1_l1",4,0.085914,14,FALSE,4.66666666666667,"cospeciation",3
"d1_t1_l1",4,0.085914,14,FALSE,4.66666666666667,"transfer",14
"d1_t1_l1",4,0.085914,14,FALSE,4.66666666666667,"duplication",3
"d1_t1_l1",4,0.085914,14,FALSE,4.66666666666667,"loss",0
"d1_t1_l1",5,0.136863,11,FALSE,3.75,"cospeciation",4
"d1_t1_l1",5,0.136863,11,FALSE,3.75,"transfer",15
"d1_t1_l1",5,0.136863,11,FALSE,3.75,"duplication",1
"d1_t1_l1",5,0.136863,11,FALSE,3.75,"loss",0
"d1_t1_l1",6,0.130869,7,FALSE,3.75,"cospeciation",4
"d1_t1_l1",6,0.130869,7,FALSE,3.75,"transfer",15
"d1_t1_l1",6,0.130869,7,FALSE,3.75,"duplication",1
"d1_t1_l1",6,0.130869,7,FALSE,3.75,"loss",0
"d1_t1_l1",7,0.02997,12,TRUE,3.5,"cospeciation",4
"d1_t1_l1",7,0.02997,12,TRUE,3.5,"transfer",14
"d1_t1_l1",7,0.02997,12,TRUE,3.5,"duplication",2
"d1_t1_l1",7,0.02997,12,TRUE,3.5,"loss",0
"d1_t1_l1",8,0.05994,13,FALSE,5.66666666666667,"cospeciation",3
"d1_t1_l1",8,0.05994,13,FALSE,5.66666666666667,"transfer",17
"d1_t1_l1",8,0.05994,13,FALSE,5.66666666666667,"duplication",0
"d1_t1_l1",8,0.05994,13,FALSE,5.66666666666667,"loss",0
"d1_t1_l1",9,0.041958,7,TRUE,2.6,"cospeciation",5
"d1_t1_l1",9,0.041958,7,TRUE,2.6,"transfer",13
"d1_t1_l1",9,0.041958,7,TRUE,2.6,"duplication",2
"d1_t1_l1",9,0.041958,7,TRUE,2.6,"loss",0
"d1_t1_l1",10,0.047952,12,TRUE,3.5,"cospeciation",4
"d1_t1_l1",10,0.047952,12,TRUE,3.5,"transfer",14
"d1_t1_l1",10,0.047952,12,TRUE,3.5,"duplication",2
"d1_t1_l1",10,0.047952,12,TRUE,3.5,"loss",0
"d1_t1_l1",11,0.036963,10,TRUE,2.8,"cospeciation",5
"d1_t1_l1",11,0.036963,10,TRUE,2.8,"transfer",14
"d1_t1_l1",11,0.036963,10,TRUE,2.8,"duplication",1
"d1_t1_l1",11,0.036963,10,TRUE,2.8,"loss",0
"d1_t1_l1",12,0.076923,14,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",12,0.076923,14,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",12,0.076923,14,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",12,0.076923,14,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",13,0.107892,7,FALSE,4,"cospeciation",4
"d1_t1_l1",13,0.107892,7,FALSE,4,"transfer",16
"d1_t1_l1",13,0.107892,7,FALSE,4,"duplication",0
"d1_t1_l1",13,0.107892,7,FALSE,4,"loss",0
"d1_t1_l1",14,0.112887,13,FALSE,3.75,"cospeciation",4
"d1_t1_l1",14,0.112887,13,FALSE,3.75,"transfer",15
"d1_t1_l1",14,0.112887,13,FALSE,3.75,"duplication",1
"d1_t1_l1",14,0.112887,13,FALSE,3.75,"loss",1
"d1_t1_l1",15,0.041958,10,TRUE,2.6,"cospeciation",5
"d1_t1_l1",15,0.041958,10,TRUE,2.6,"transfer",13
"d1_t1_l1",15,0.041958,10,TRUE,2.6,"duplication",2
"d1_t1_l1",15,0.041958,10,TRUE,2.6,"loss",0
"d1_t1_l1",16,0.080919,13,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",16,0.080919,13,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",16,0.080919,13,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",16,0.080919,13,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",17,0.05994,14,FALSE,5.66666666666667,"cospeciation",3
"d1_t1_l1",17,0.05994,14,FALSE,5.66666666666667,"transfer",17
"d1_t1_l1",17,0.05994,14,FALSE,5.66666666666667,"duplication",0
"d1_t1_l1",17,0.05994,14,FALSE,5.66666666666667,"loss",0
"d1_t1_l1",18,0.040959,11,TRUE,4,"cospeciation",4
"d1_t1_l1",18,0.040959,11,TRUE,4,"transfer",16
"d1_t1_l1",18,0.040959,11,TRUE,4,"duplication",0
"d1_t1_l1",18,0.040959,11,TRUE,4,"loss",0
"d1_t1_l1",19,0.107892,13,FALSE,4,"cospeciation",4
"d1_t1_l1",19,0.107892,13,FALSE,4,"transfer",16
"d1_t1_l1",19,0.107892,13,FALSE,4,"duplication",0
"d1_t1_l1",19,0.107892,13,FALSE,4,"loss",1
"d1_t1_l1",20,0.130869,13,FALSE,5,"cospeciation",3
"d1_t1_l1",20,0.130869,13,FALSE,5,"transfer",15
"d1_t1_l1",20,0.130869,13,FALSE,5,"duplication",2
"d1_t1_l1",20,0.130869,13,FALSE,5,"loss",0
"d1_t1_l1",21,0.325674,16,FALSE,8.5,"cospeciation",2
"d1_t1_l1",21,0.325674,16,FALSE,8.5,"transfer",17
"d1_t1_l1",21,0.325674,16,FALSE,8.5,"duplication",1
"d1_t1_l1",21,0.325674,16,FALSE,8.5,"loss",0
"d1_t1_l1",22,0.013986,11,TRUE,2.8,"cospeciation",5
"d1_t1_l1",22,0.013986,11,TRUE,2.8,"transfer",14
"d1_t1_l1",22,0.013986,11,TRUE,2.8,"duplication",1
"d1_t1_l1",22,0.013986,11,TRUE,2.8,"loss",1
"d1_t1_l1",23,0.025974,7,TRUE,2.8,"cospeciation",5
"d1_t1_l1",23,0.025974,7,TRUE,2.8,"transfer",14
"d1_t1_l1",23,0.025974,7,TRUE,2.8,"duplication",1
"d1_t1_l1",23,0.025974,7,TRUE,2.8,"loss",0
"d1_t1_l1",24,0.02997,11,TRUE,4,"cospeciation",4
"d1_t1_l1",24,0.02997,11,TRUE,4,"transfer",16
"d1_t1_l1",24,0.02997,11,TRUE,4,"duplication",0
"d1_t1_l1",24,0.02997,11,TRUE,4,"loss",0
"d1_t1_l1",25,0.091908,13,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",25,0.091908,13,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",25,0.091908,13,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",25,0.091908,13,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",26,0.131868,12,FALSE,5.33333333333333,"cospeciation",3
"d1_t1_l1",26,0.131868,12,FALSE,5.33333333333333,"transfer",16
"d1_t1_l1",26,0.131868,12,FALSE,5.33333333333333,"duplication",1
"d1_t1_l1",26,0.131868,12,FALSE,5.33333333333333,"loss",0
"d1_t1_l1",27,0.076923,13,FALSE,5.66666666666667,"cospeciation",3
"d1_t1_l1",27,0.076923,13,FALSE,5.66666666666667,"transfer",17
"d1_t1_l1",27,0.076923,13,FALSE,5.66666666666667,"duplication",0
"d1_t1_l1",27,0.076923,13,FALSE,5.66666666666667,"loss",0
"d1_t1_l1",28,0.233766,16,FALSE,8.5,"cospeciation",2
"d1_t1_l1",28,0.233766,16,FALSE,8.5,"transfer",17
"d1_t1_l1",28,0.233766,16,FALSE,8.5,"duplication",1
"d1_t1_l1",28,0.233766,16,FALSE,8.5,"loss",0
"d1_t1_l1",29,0.151848,7,FALSE,3.5,"cospeciation",4
"d1_t1_l1",29,0.151848,7,FALSE,3.5,"transfer",14
"d1_t1_l1",29,0.151848,7,FALSE,3.5,"duplication",2
"d1_t1_l1",29,0.151848,7,FALSE,3.5,"loss",0
"d1_t1_l1",30,0.123876,12,FALSE,5.33333333333333,"cospeciation",3
