"replicate","pvalue","Contemporaneous","Cospeciation","Transfer","Duplication","Loss","time_inconsistency"
1,0.045954,22,3,17,0,0,13
2,0.00999,22,4,16,0,0,12
3,0.028971,22,5,15,0,0,10
4,0.874126,22,3,15,2,0,14
5,0.611389,22,4,15,1,0,11
6,0.63037,22,4,15,1,0,7
7,0.854146,22,4,14,2,0,12
8,0.035964,22,3,17,0,0,13
9,0.562438,22,5,14,1,0,7
10,0.862138,22,4,14,2,0,12
11,0.025974,22,5,15,0,0,10
12,0.587413,22,3,16,1,0,14
13,0.070929,22,4,16,0,0,7
14,0.624376,22,3,16,1,0,14
15,0.576424,22,5,14,1,0,10
16,0.632368,22,3,16,1,0,13
17,0.036963,22,3,17,0,0,14
18,0.028971,22,4,16,0,0,11
19,0.04995,22,3,17,0,0,14
20,0.875125,22,3,15,2,0,13
21,0.656344,22,2,17,1,0,16
22,0.007992,22,4,16,0,0,12
23,0.016983,22,5,15,0,0,7
24,0.017982,22,4,16,0,0,11
25,0.602398,22,3,16,1,0,13
26,0.57043,22,3,16,1,0,12
27,0.034965,22,3,17,0,0,13
28,0.681319,22,2,17,1,0,16
29,0.647353,22,4,15,1,0,7
30,0.615385,22,3,16,1,0,12
31,0.609391,22,3,16,1,0,13
32,0.602398,22,3,16,1,0,13
33,0.661339,22,4,15,1,0,7
34,0.617383,22,3,16,1,0,12
35,0.546454,22,4,15,1,0,13
36,0.062937,22,3,17,0,0,13
37,0.885115,22,3,15,2,0,13
38,0.461538,22,4,15,1,0,12
39,0.622378,22,3,16,1,0,13
40,0.599401,22,3,16,1,0,13
41,0.160839,22,2,18,0,0,15
42,0.641359,22,4,15,1,0,7
43,0.82018,22,4,14,2,0,13
44,0.652348,22,2,17,1,0,16
45,0.043956,22,3,17,0,0,14
46,0.58042,22,3,16,1,0,14
47,0.628372,22,3,16,1,0,13
48,0.875125,22,5,13,2,0,7
49,0.14985,22,2,18,0,0,15
50,0.4995,22,4,15,1,0,13
