code_individual_host,hosts_species_match,host_DNA_ext_ID,host_species,updated_host_species_name,country,state,county,locality,latitude,longitude,date_collected,host_order,host_suborder,host_family,host_subfamily,Tribe,host_genus,sex,life_stage,infected,intensity,TAMUIC_IC_CODE,observations
tt1,,R11,Taeniopoda tamaulipensis,Romalea tamaulipensis,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago/8/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,nymph,n,0,TAMUIC-IGC-004548,
tt2,,,Taeniopoda tamaulipensis,Romalea tamaulipensis,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago/8/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,nymph,n,0,,
tt3,,,Taeniopoda tamaulipensis,Romalea tamaulipensis,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago/8/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,female,nymph,n,0,,
tt4,,,Taeniopoda tamaulipensis,Romalea tamaulipensis,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago/8/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,nymph,n,0,,
tt5,,,Taeniopoda tamaulipensis,Romalea tamaulipensis,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago/8/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,nymph,n,0,,
tt6,,,Taeniopoda tamaulipensis,Romalea tamaulipensis,MX,Hidalgo,Metztitlan,Jilotla,20.54892,-98.74942,Ago/8/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,female,nymph,n,0,,
Taec1,Taec1,,Taeniopoda centurio,Romalea centurio,MX,Hidalgo,Huejutla de Reyes,camino a Mesa de Limatitla,21.07499,-98.41156,Ago/12/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,adult,y,5,,
Taec1,Taec1,,Taeniopoda centurio,Romalea centurio,MX,Hidalgo,Huejutla de Reyes,camino a Mesa de Limatitla,21.07499,-98.41156,Ago/12/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,adult,y,5,,
Taec2,Taec2,R12,Taeniopoda centurio,Romalea centurio,MX,Hidalgo,Huejutla de Reyes,camino a Mesa de Limatitla,21.07499,-98.41156,Ago/12/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,adult,y,?,TAMUIC-IGC-004549,
Taec2,Taec2,R12,Taeniopoda centurio,Romalea centurio,MX,Hidalgo,Huejutla de Reyes,camino a Mesa de Limatitla,21.07499,-98.41156,Ago/12/2021,Orthoptera,Caelifera,Romaleidae,Romaleinae,,Taeniopoda,male,adult,y,?,TAMUIC-IGC-004549,
